ingredients,Refuse (%),Water (g),Energy (Kcal),Protein (g),Fat (g),Ash (g),Fiber (g),Carboyhdrates (g),Sodium (mg),Potassium (mg),Calcium (mg),Phosphorus (mg),Magnesium (mg),Iron (mg),Zinc (mg),Copper (mg),Vitamin A ugRE,Vitamin C (mg),Thiamin (mg),Riboflavin (mg),category
Beef  brain,0,79.3,121.0,10.4,8.5,1.2,0.0,0.6,122,225,10.0,374,15.0,1.4,1.2,0.24,83,12,0.18,0.24,meat
Beef  brain (fried),0,53.0,251.0,13.7,13.9,1.7,0.0,17.7,665,273,87.0,0,0.0,1.52,1.09,0.3,0,0,0.0,0.0,meat
Beef  burger,0,59.4,256.0,18.0,20.0,1.6,0.0,1.0,613,276,75.0,166,19.0,2.8,3.5,0.24,0,0,0.05,0.18,meat
Beef  burger (grilled),0,55.3,263.0,21.1,19.0,2.6,0.0,2.0,750,150,31.0,0,0.0,3.1,4.0,0.0,0,0,0.0,0.0,meat
Beef  frankfurter,0,60.0,224.0,15.2,16.1,3.1,1.0,4.6,1052,230,68.0,127,74.0,2.5,3.7,0.07,0,0,0.16,0.2,meat
Beef  head,73,64.0,212.0,20.2,14.5,1.2,0.0,0.1,0,0,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,meat
Beef  head meat (boiled),0,57.4,239.0,25.1,15.2,1.9,0.0,0.4,0,0,0.0,0,0.0,5.5,4.4,0.28,0,0,0.0,0.0,meat
Beef  heart,0,76.5,112.0,16.5,4.3,1.0,0.0,1.7,90,310,12.0,288,17.0,4.6,2.0,0.41,5,5,0.32,0.92,meat
Beef  kidneys,0,75.9,121.0,16.5,5.8,1.0,0.0,0.8,184,215,10.0,234,12.0,5.8,1.8,0.41,266,10,0.27,1.8,meat
Beef  kunckles,65,71.0,137.0,23.0,5.0,1.0,0.0,0.0,62,134,0.0,0,0.0,0.4,1.6,0.0,0,0,0.0,0.0,meat
Beef  liver,0,70.5,132.0,19.5,4.0,1.6,0.0,4.4,88,303,10.0,352,14.0,7.8,7.7,0.8,12121,25,0.26,3.1,meat
